OBJECTID,CaseObjectID,AppliedDate,Fee,IssuedDate,ParcelNo,PropertyAddress,Status,Valuation,WorkDescription,BuildingUseCode,PermitNumber,PermitType,PermitSubType
9451157,8084,2017/10/31 08:00:00+00,156.88,2017/11/01 08:00:00+00,570157015,1081 E WATER ST,CLOSED,0,Elevator Permit,,EL-17-0014,B-CONVERT,B-ELEVATOR
9451160,8081,2017/10/12 08:00:00+00,152.8,2017/10/21 08:00:00+00,570157011,1071 E WATER ST,CLOSED,0,Elevator Permit,,EL-17-0011,B-CONVERT,B-ELEVATOR
9451161,8080,2017/10/12 08:00:00+00,152.8,2017/10/21 08:00:00+00,570157012,1073 E WATER ST,CLOSED,0,Elevator Permit,,EL-17-0010,B-CONVERT,B-ELEVATOR
9451162,8079,2017/10/12 08:00:00+00,148.72,2018/04/11 08:00:00+00,570157014,1077 E WATER ST,CLOSED,0,Elevator Permit,,EL-17-0009,B-CONVERT,B-ELEVATOR
9451163,8078,2017/10/06 08:00:00+00,148.72,2017/10/18 08:00:00+00,570157013,1075 E WATER ST,CLOSED,0,Elevator Permit,,EL-17-0008,B-CONVERT,B-ELEVATOR
9451164,8077,2017/10/06 08:00:00+00,152.8,,570157009,1063 E WATER ST,EXPIRED,0,Elevator Permit,,EL-17-0007,B-CONVERT,B-ELEVATOR
9451166,8075,2017/09/25 08:00:00+00,1968.62,2017/10/26 08:00:00+00,100064000,1106 W MAIN ST,CLOSED,0,Elevator Permit,,EL-17-0005,B-CONVERT,B-ELEVATOR
9451175,8066,2016/01/08 10:00:00+00,1708.52,2016/03/10 10:00:00+00,100068000,1000 W MAIN ST,CLOSED,0,Elevator Permit,,EL-16-0001,B-CONVERT,B-ELEVATOR
9451181,8060,2015/10/07 08:00:00+00,1017.26,2015/10/22 08:00:00+00,100016000,1309 W MAIN ST,CLOSED,0,Elevator Permit,,EL-15-0005,B-CONVERT,B-ELEVATOR
9451182,8059,2015/07/02 08:00:00+00,442.28,2015/08/21 08:00:00+00,280010000,200 W MAIN ST,CLOSED,0,Elevator Permit,,EL-15-0004,B-CONVERT,B-ELEVATOR
9451185,8056,2015/02/09 10:00:00+00,1188.32,2015/05/13 08:00:00+00,320197000,315 W MAIN ST,CLOSED,0,Elevator Permit,,EL-15-0001,B-CONVERT,B-ELEVATOR
9451188,8053,2014/05/01 08:00:00+00,1008.08,2014/05/07 08:00:00+00,570157000,1111 E WATER ST,CLOSED,0,Elevator Permit,,EL-14-0004,B-CONVERT,B-ELEVATOR
9451192,8049,2013/12/27 10:00:00+00,2109.38,2014/01/21 10:00:00+00,300003000,852 W MAIN ST,CLOSED,0,Elevator Permit,,EL-13-0011,B-CONVERT,B-ELEVATOR
9451202,8039,2013/01/09 10:00:00+00,925.46,2013/01/16 10:00:00+00,320179000,417  W MAIN ST,EXPIRED,0,Elevator Permit,,EL-13-0001,B-CONVERT,B-ELEVATOR
9451227,8014,2009/06/30 08:00:00+00,113.96,2009/07/15 08:00:00+00,280023000,110-112 EAST MAIN STREET,CLOSED,0,Elevator Permit,,EL-09-0005,B-CONVERT,B-ELEVATOR
9451297,7944,2018/10/25 08:00:00+00,275.0,2019/01/16 10:00:00+00,280001000,230 W MAIN ST,ISSUE,0,Commercial Demolition,,D-18-00029,C-DEMO,C-DEMO
9451298,7943,2018/10/25 08:00:00+00,275.0,2019/01/18 10:00:00+00,280009100,218-220 W MAIN ST,ISSUE,0,Commercial Demolition,,D-18-00028,C-DEMO,C-DEMO
9451315,7926,2018/05/02 08:00:00+00,275.0,,290007000,600 W MAIN ST,CLOSED,0,Commercial Demolition,,D-18-00011,C-DEMO,C-DEMO
9451318,7923,2018/03/15 08:00:00+00,275.0,2018/03/29 08:00:00+00,320176000,501 W MAIN ST,ISSUE,0,Partial Commercial Demolition,,D-18-00008,C-DEMO,C-PARTDEMO
